date,premise_code,item_code,price,year,month,previous_price,next_price,Price_Increase,price_change,price_change_pct,item,state,district,premise_type
2025-01-23,21101,114,11.99,2025,1,11.99,5.69,0,0.0,0.0,TOMATO,Kedah,Kulim,Pasar Raya / Supermarket
2025-01-23,20902,1555,55.0,2025,1,55.0,55.0,0,0.0,0.0,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Selangor,Petaling Jaya,Pasar Raya / Supermarket
2025-01-26,17391,1131,2.9,2025,1,2.9,2.9,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Kelantan,Tanah Merah,Pasar Raya / Supermarket
2025-01-27,13715,1476,12.99,2025,1,12.99,12.99,0,0.0,0.0,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Kelantan,Kota Bharu,Hypermarket
2025-01-27,17361,1110,12.0,2025,1,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Kelantan,Kota Bharu,Kedai Runcit
2025-01-27,1610,129,4.5,2025,1,5.0,5.0,1,-0.5,-10.0,BAWANG BESAR KUNING/HOLLAND,Kelantan,Machang,Kedai Runcit
2025-01-27,17696,114,7.0,2025,1,7.0,7.0,0,0.0,0.0,TOMATO,Sabah,Lahad Datu,Kedai Runcit
2025-01-27,17898,1131,4.0,2025,1,5.8,4.0,0,-1.7999999999999998,-31.034482758620683,UBI KENTANG IMPORT (CHINA),Sabah,Putatan,Kedai Runcit
2025-01-27,5072,114,10.0,2025,1,10.0,8.0,0,0.0,0.0,TOMATO,W.P. Kuala Lumpur,Seputeh,Kedai Runcit
2025-01-28,16394,1555,33.0,2025,1,33.0,33.0,0,0.0,0.0,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Sabah,Papar,Pasar Raya / Supermarket
2025-02-01,17101,1131,3.0,2025,2,3.0,3.0,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Johor,Johor Bahru,Pasar Raya / Supermarket
2025-02-01,13790,1131,3.0,2025,2,3.0,3.0,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Pulau Pinang,Barat Daya,Pasar Raya / Supermarket
2025-02-02,11617,1110,12.0,2025,2,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Kelantan,Machang,Pasar Basah 
2025-02-02,4658,1555,35.0,2025,2,35.0,33.0,0,0.0,0.0,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Kedah,Kuala Muda,Pasar Basah 
2025-02-03,17855,1110,14.1,2025,2,14.1,14.1,0,0.0,0.0,TELUR AYAM GRED B,Sabah,Kalabakan,Pasar Mini
2025-02-03,17148,129,4.5,2025,2,4.0,4.5,0,0.5,12.5,BAWANG BESAR KUNING/HOLLAND,Johor,Segamat,Pasar Mini
2025-02-03,16826,129,3.59,2025,2,3.59,3.59,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Terengganu,Kuala Terengganu,Pasar Mini
2025-02-03,2130,1559,3.0,2025,2,2.0,3.0,0,1.0,50.0,KANGKUNG,Pulau Pinang,Timur Laut,Kedai Runcit
2025-02-03,17652,1131,3.2,2025,2,3.2,3.0,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Perlis,Arau,Pasar Mini
2025-02-05,16822,1131,2.3,2025,2,2.3,2.3,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Terengganu,Kuala Terengganu,Borong
2025-02-05,16823,1476,17.0,2025,2,16.0,16.0,0,1.0,6.25,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Terengganu,Kemaman,Borong
2025-02-06,11564,1,9.2,2025,2,9.2,9.2,0,0.0,0.0,AYAM BERSIH - STANDARD,W.P. Kuala Lumpur,Setiawangsa,Pasar Raya / Supermarket
2025-02-06,18347,1555,32.99,2025,2,32.99,32.99,0,0.0,0.0,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Selangor,Kuala Selangor,Pasar Raya / Supermarket
2025-02-07,18466,1559,7.0,2025,2,7.0,7.0,0,0.0,0.0,KANGKUNG,Sabah,Sandakan,Pasar Raya / Supermarket
2025-02-08,2280,1559,7.0,2025,2,7.0,7.0,0,0.0,0.0,KANGKUNG,Pulau Pinang,Timur Laut,Pasar Raya / Supermarket
2025-02-09,480,1555,35.0,2025,2,35.0,35.0,0,0.0,0.0,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Kelantan,Bachok,Pasar Raya / Supermarket
2025-02-09,21035,1131,2.49,2025,2,2.49,2.49,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Johor,Pontian,Pasar Raya / Supermarket
2025-02-10,1301,129,8.0,2025,2,8.0,8.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sarawak,Kapit,Kedai Runcit
2025-02-10,20887,1,9.39,2025,2,9.19,8.69,0,0.20000000000000107,2.17627856365616,AYAM BERSIH - STANDARD,Pahang,Kuantan,Pasar Mini
2025-02-10,3805,129,5.0,2025,2,5.0,5.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Terengganu,Setiu,Kedai Runcit
2025-02-10,16707,129,4.0,2025,2,4.0,4.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Kelantan,Machang,Kedai Runcit
2025-02-10,20799,1110,12.0,2025,2,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Selangor,Petaling,Kedai Runcit
2025-02-10,17298,1131,3.9,2025,2,3.9,3.9,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Sabah,Ranau,Pasar Mini
2025-02-10,6342,129,4.5,2025,2,4.5,3.8,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Perak,Batang Padang,Kedai Runcit
2025-02-10,20978,1110,12.0,2025,2,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Perak,Manjung,Kedai Runcit
2025-02-11,16394,129,5.5,2025,2,5.5,5.5,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sabah,Papar,Pasar Raya / Supermarket
2025-02-13,942,1555,34.0,2025,2,35.0,34.0,0,-1.0,-2.857142857142857,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Johor,Muar,Pasar Basah 
2025-02-14,17712,1131,3.5,2025,2,3.5,3.5,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),W.P. Kuala Lumpur,Cheras,Pasar Raya / Supermarket
2025-02-16,21101,1110,12.0,2025,2,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Kedah,Kulim,Pasar Raya / Supermarket
2025-02-16,17764,1555,55.9,2025,2,65.9,55.9,0,-10.000000000000007,-15.17450682852808,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),W.P. Kuala Lumpur,Seputeh,Pasar Raya / Supermarket
2025-02-16,21035,1559,5.49,2025,2,5.49,5.49,0,0.0,0.0,KANGKUNG,Johor,Pontian,Pasar Raya / Supermarket
2025-02-17,18108,114,15.0,2025,2,15.0,15.0,0,0.0,0.0,TOMATO,Sarawak,Lawas,Kedai Runcit
2025-02-17,20713,1131,3.5,2025,2,3.5,3.5,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Sabah,Keningau,Pasar Mini
2025-02-17,16169,114,10.0,2025,2,7.0,10.0,0,3.0,42.857142857142854,TOMATO,W.P. Kuala Lumpur,Seputeh,Pasar Mini
2025-02-17,17694,1559,8.39,2025,2,8.39,8.39,0,0.0,0.0,KANGKUNG,Terengganu,Marang,Pasar Mini
2025-02-17,20974,1,9.5,2025,2,9.5,9.8,1,0.0,0.0,AYAM BERSIH - STANDARD,Perak,Hilir Perak,Pasar Mini
2025-02-17,21052,1131,2.6,2025,2,2.6,2.6,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Pahang,Kuantan,Pasar Mini
2025-02-20,16394,1559,8.9,2025,2,8.9,8.9,0,0.0,0.0,KANGKUNG,Sabah,Papar,Pasar Raya / Supermarket
2025-02-20,16394,1131,3.9,2025,2,3.9,3.9,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Sabah,Papar,Pasar Raya / Supermarket
2025-02-24,21101,1131,2.69,2025,2,2.69,2.69,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Kedah,Kulim,Pasar Raya / Supermarket
2025-02-24,20928,1559,8.0,2025,2,6.0,8.0,0,2.0,33.33333333333333,KANGKUNG,Johor,Pontian,Kedai Runcit
2025-02-24,18108,129,8.0,2025,2,8.0,8.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sarawak,Lawas,Kedai Runcit
2025-02-24,7,129,5.9,2025,2,5.9,5.9,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,W.P. Putrajaya,Wp Putrajaya,Kedai Runcit
2025-02-24,20815,129,3.99,2025,2,3.99,3.99,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Perlis,Kangar,Pasar Mini
2025-02-24,17855,1131,3.3,2025,2,3.3,3.3,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Sabah,Kalabakan,Pasar Mini
2025-02-24,20762,1559,6.3,2025,2,8.4,6.3,0,-2.1000000000000005,-25.000000000000007,KANGKUNG,Johor,Batu Pahat,Kedai Runcit
2025-02-24,1231,1110,12.0,2025,2,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Kedah,Pendang,Kedai Runcit
2025-02-25,2743,1131,4.0,2025,2,4.0,4.0,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Sabah,Pitas,Pasar Basah 
2025-02-26,18151,114,8.0,2025,2,8.5,7.0,0,-0.5,-5.88235294117647,TOMATO,Johor,Johor Bahru,Borong
2025-02-26,15952,1559,5.9,2025,2,5.9,5.9,0,0.0,0.0,KANGKUNG,Kedah,Kota Setar,Pasar Raya / Supermarket
2025-02-26,21101,1,8.29,2025,2,8.29,8.69,1,0.0,0.0,AYAM BERSIH - STANDARD,Kedah,Kulim,Pasar Raya / Supermarket
2025-02-26,17003,1131,3.0,2025,2,3.0,3.0,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Negeri Sembilan,Seremban,Borong
2025-02-27,2743,129,6.0,2025,2,6.0,6.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sabah,Pitas,Pasar Basah 
2025-02-27,21035,1555,29.99,2025,2,31.99,29.99,0,-2.0,-6.251953735542358,UDANG PUTIH/VANNAMEI (TERNAK) (ANTARA 41 HINGGA 60 EKOR SEKILOGRAM),Johor,Pontian,Pasar Raya / Supermarket
2025-02-27,16394,114,10.9,2025,2,10.9,10.9,0,0.0,0.0,TOMATO,Sabah,Papar,Pasar Raya / Supermarket
